"%s is required.","%s ist erforderlich."
"Action","Aktion"
"Add Catalog Event","Katalogereignis hinzufügen"
"Add Event...","Ereignis hinzufügen…"
"An error occurred while saving this event.","Fehler beim Speichern dieses Ereignisses."
"Back to Category","Zurück zur Kategorie"
"Block Custom Width","Individuelle Breite sperren"
"Catalog","Katalog"
"Catalog Event Information","Katalogereignis Information"
"Catalog Events","Katalogereignisse"
"Catalog Events Carousel","Katalogereignisse Karussell"
"Catalog Events Carousel Default Template","Katalogereignisse Karussell Standardvorlage"
"Categories","Kategorien"
"Category","Kategorie"
"Category ID","Kategorie Ident.-Nr."
"Category Page","Kategorie Seite"
"Closed","Geschlossen"
"Coming Soon","In Kürze"
"Default Values","Standardwerte"
"Default value. Override in CMS using limit=""x"" variable. If empty, there will be no limitation.","Standardwert. Ändern mithilfe der Variable limit=""x"" im CMS. Bei leerem Feld wird kein Grenzwert gesetzt."
"Default value. Override in CMS using scroll=""x"" variable.","Standardwert. Ändern mithilfe der Variable scroll=""x"" im CMS."
"Display Countdown Ticker On","Countdown-Ticker anzeigen auf"
"Edit","Bearbeiten"
"Edit Catalog Event","Katalogereignis bearbeiten"
"Edit Event...","Ereignis bearbeiten…"
"Enable Catalog Event Widget on the Frontend","Katalogereignis-Widget auf Frontend unterstützen"
"Enable Catalog Events Functionality","Funktion Katalogereignisse aktivieren"
"End Date","Enddatum"
"End date should be greater than start date.","Das Enddatum muss nach dem Startdatum liegen."
"Ends On","Endet am"
"Event for selected category","Ereignis für die ausgewählte Kategorie"
"Event has been deleted.","Ereignis gelöscht."
"Event has been saved.","Ereignis gespeichert."
"Events","Ereignisse"
"Events to Scroll per Click in Event Slider Widget","Ereignisse zum Scrollen per Click im Widget Ereignis-Slider"
"Frame Size","Rahmengröße"
"Go To Sale","Gehe zu Schlussverkauf"
"ID","Kennnummer"
"Image","Foto"
"Image was not uploaded.","Kein Foto hochgeladen"
"List all open Catalog Events as a Paginated Carousel","Alle offenen Katalogereignisse in einem paginierten Karussell auflisten"
"Lister Block","Auflister Block"
"Manage Catalog Events","Katalogereignisse verwalten"
"New Event","Neues Ereignis"
"Number of Events to be Displayed in Event Slider Widget","Anzahl der Ereignisse, die im Widget Ereignis-Slider angezeigt werden"
"Number of Items to display at once","Anzahl der Artikel, die gleichzeitig angezeigt werden"
"Number of Items to scroll per click","Anzahl der Artikel zum Scrollen pro Click"
"Open","Offen"
"Preview Sale","Vorschau Schlussverkauf"
"Product Page","Produktseite"
"Sale Ends In","Schlussverkauf endet in"
"Sale was closed for this product.","Der Schlussverkauf für dieses Produkt wurde beendet."
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Scroll","Scrollen"
"Select Category","Kategorie auswählen"
"Some products are not salable anymore.","Einige Produkte sind nicht mehr verkaufsfähig."
"Sort Order","Sortierfolge"
"Start Date","Startdatum"
"Starts On","Beginnt am"
"Status","Status"
"Upcoming","In Kürze"
"Use Default Value","Standardwert verwenden"
"View Sale","Vorschau Schlussverkauf"
"Width in Pixels. If empty, will be determined automatically","Breite in Pixel. Bleibt dieses Feld leer, so wird der Wert automatisch bestimmt"
