"Action","Acción"
"Add Gift Wrapping","Añadir papel para regalo"
"Add Printed Card","Añadir tarjeta impresa"
"Allow Gift Receipt","Permitir recibo del regalo"
"Allow Gift Wrapping for Order Items","Permitir papel para regalo para artículos del pedido"
"Allow Gift Wrapping on Order Level","Permitir papel para regalo en el nivel de pedido"
"Allow Printed Card","Permitir tarjeta impresa"
"An error occurred while updating the wrapping(s) status.","Se produjo un error al actualizar el estado del papel(es) para regalo."
"Are you sure you want to delete the selected gift wrappings?","¿Estás seguro de querer eliminar los papeles para regalo seleccionados?"
"Are you sure you want to delete this gift wrapping?","¿Estás seguro de querer eliminar este papel de regalo?"
"Change status","Cambiar estado"
"Default Price for Printed Card","Precio por defecto para tarjeta impresa"
"Delete","Eliminar"
"Design","Diseñar"
"Disabled","Deshabilitado"
"Display Gift Wrapping Prices","Mostrar precios de papel para regalo"
"Display Printed Card Prices","Mostrar precios de tarjeta impresa"
"Edit","Editar"
"Edit Gift Wrapping ""%s""","Editar papel para regalo ""%s"""
"Enabled","Habilitado"
"Excl. Tax","Sin impuestos"
"Failed to save gift wrapping.","Error al guardar el papel para regalo."
"Gift Wrapping","Papel para regalo"
"Gift Wrapping Design","Diseño de papel para regalo"
"Gift Wrapping Information","Información de papel para regalo"
"Gift Wrapping for Items","Papel para regalo para artículos"
"Gift Wrapping for Items (Excl. Tax)","Papel para regalo para artículos (Sin impuestos)"
"Gift Wrapping for Items (Incl. Tax)","Papel para regalo para artículos (Impuestos incluidos)"
"Gift Wrapping for Order","Papel para regalo para Pedido"
"Gift Wrapping for Order (Excl. Tax)","Papel para regalo para Pedido (Sin impuestos)"
"Gift Wrapping for Order (Incl. Tax)","Papel para regalo para Pedido (Impuestos incluidos)"
"Gift Wrapping for the Entire Order","Papel para regalo para el Pedido completo"
"ID","ID"
"Image","Imagen"
"Image has not been uploaded.","La imagen no se ha subido."
"Image was not uploaded.","La imagen no se subió."
"Incl. Tax","Impuestos incluidos"
"Manage Gift Wrapping","Administrar papel para regalo"
"New Gift Wrapping","Nuevo papel para regalo"
"Please select","Por favor, selecciona"
"Please select items.","Por favor, selecciona artículos."
"Price","Precio"
"Price Excl. Tax","Precio sin impuestos"
"Price Incl. Tax","Precio con impuestos incluidos"
"Printed Card","Tarjeta impresa"
"Printed Card (Excl. Tax)","Tarjeta impresa (Sin impuestos)"
"Printed Card (Incl. Tax)","Tarjeta impresa (Impuestos incluidos)"
"Sales","Ventas"
"Save and Continue Edit","Grabar y Continuar Editando"
"Send Gift Receipt","Enviar recibo del regalo"
"Status","Progreso"
"Tax Class for Gift Options","Tipo de Impuestos para Regalos"
"The gift wrapping has been deleted.","Se ha eliminado el envoltorio de regalo."
"The gift wrapping has been saved.","Se ha guardado el envoltorio de regalo."
"Total of %d record(s) have been deleted.","Un total de %d registro(s) ha(n) sido eliminado(s)."
"Total of %d record(s) have been updated.","Un total de %d registro(s) ha(n) sido actualizado(s)."
"Upload File","Cargar Archivo"
"Use Default Value","Usar Valor por Defecto"
"Websites","Páginas Web"
"Wrong gift wrapping requested.","Se ha pedido el envoltorio de regalo equivocado."
"You can leave a box blank if you don\'t wish to add a gift wrap for whole order","Puedes dejar una casilla en blanco si no deseas añadir un envoltorio de regalo al pedido completo"
