"Admin Accounts Locks","Bloqueo de cuentas de administración"
"Auto-generate a Key","Auto generar una clave"
"Change Encryption Key","Cambiar clave de encriptación"
"Encryption Key Change","Cambio de clave de encriptación"
"Encryption key format is invalid.","el formato de cuenta de encriptación es inválido."
"Encryption key has been changed.","La cuenta de encriptación ha cambiado."
"Failures","Fallos"
"File %s is not writeable.","Archivo % no se puede escribir."
"Forced","Forzado"
"ID","Identificación"
"If empty, this feature will be disabled.","Si está vacía, esta característica será desactivada."
"Last login","Ultimo acceso"
"Locked Admins","Administradores bloqueados"
"Locked Users","Usuarios bloqueados"
"Locked administrators","Administradores bloqueados"
"Locked until","Bloqueado hasta"
"Lockout Time (minutes)","Hora de cierre (minutos)"
"Manage Encription Key","Administre clave de encriptación"
"Manage Encryption Key","Administre clave de encriptación"
"Maximum Login Failures to Lockout Account","Fallos de acceso máximos para bloqueo de cuenta"
"New Encryption Key","Nueva clave de encriptación"
"New Key","Nueva clave"
"Password Change","Cambio de contraseña"
"Password Lifetime (days)","Tiempo de vida de la contraseña (en días)"
"Permissions","Permisos"
"Please enter an encryption key.","Por favor introduzca una clave de encriptación"
"Recommended","Recomendado"
"System","Sistema"
"The encryption key is used to encrypt passwords and other sensitive data.","La clave de encriptación es usada para encriptar contraseñas y otros datos sensibles."
"The generated key will be displayed after changing.","La clave generada se mostrará después de cambiarla."
"This account is locked.","Esta cuenta está bloqueada."
"This password was used earlier, try another one.","La contraseña se ha usado anteriormente, intente con otra."
"To make key change possible, make sure the following file is writeable: %s","Para hacer posible el cambio de clave, asegúrese de que el siguiente archivo se puede escribir: %s"
"Unlock","Desbloquear"
"Unlocked %d user(s).","%d Usuario(s) desbloqueados"
"Username","Nombre de Usuario"
"Your new encryption key: <span style=""font-family:monospace;"">%s</span>. Please make a note of it and make sure you keep it in a safe place.","Su nueva clave cifrada: <span style=""font-family:monospace;"">%s</span>.  Por favor, anótela y asegúrese de mantenerla en lugar seguro."
"Your password has expired, please <a href=""%s"">change it</a>.","Su contraseña ha expirado, por favor <a href=""%s"">cámbiela<a>."
"Your password has expired, please contact administrator.","Su contraseña ha caducado, por favor contacte con el administrador."
"Your password has expired, you must change it now.","Su contraseña ha caducado, debe cambiarla ahora."
