"200 OK","200 OK"
"503 Service Unavailable","503 Servicio no disponible"
"Access Restriction","Acceso restringido"
"Applicable only if restriction mode is ""Website Closed"". Landing page is rendered as raw HTML.","Solo es aplicable si el modo de restricción es ""Sitio Web Cerrado"". La página de destino se representa como HTML sin procesar."
"Applicable only in ""Private Sales"" mode.","Solo es aplicable en el modo ""Ventas Privadas""."
"CMS Content Wrapper","CMS contenedor de contenido"
"HTTP Response","Respuesta HTTP"
"Landing Page","Página de Llegada"
"Main Content Area","Área de contenido principal"
"Private Sales: Login Only","Ventas privadas: Acceso sólo"
"Private Sales: Login and Register","Ventas privadas: Acceso y Registro"
"Restriction Mode","Modo restricción"
"Startup Page","Página de inicio"
"To landing page (302 Found)","A la página de destino (302 encontrado)"
"To login form (302 Found)","Al formulario de acceso (302 encontrado)"
"Website Closed","Sitio cerrado"
"Website Closed Private Sales Landing Page","Sitio cerrado pagina de destino ventas privadas"
"Website Closed Stub Page","Stio Cerrado Pagina Incompleta"
