"%s is required.","%s est requis."
"Action","Action"
"Add Catalog Event","Ajouter catalogue événement"
"Add Event...","Ajouter événement..."
"An error occurred while saving this event.","Une erreur est survenue lors de la sauvegarde de cet évènement."
"Back to Category","Retour à Catégorie"
"Block Custom Width","Bloquer la Largeur sur mesure"
"Catalog","Catalogue"
"Catalog Event Information","Informations sur catalogue événement"
"Catalog Events","Catalogue évènements"
"Catalog Events Carousel","Manège de catalogue évènements"
"Catalog Events Carousel Default Template","Modèle par défaut du manège de catalogue évènements"
"Categories","Catégories"
"Category","Catégorie"
"Category ID","Identification catégorie"
"Category Page","Page catégorie"
"Closed","Fermé"
"Coming Soon","Prochainement"
"Default Values","Valeurs par défaut"
"Default value. Override in CMS using limit=""x"" variable. If empty, there will be no limitation.","Valeur par défaut.  Outrepasser en CMS en utilisant la variable scroll=""x"".Si vide, il n'y aura pas de limitation."
"Default value. Override in CMS using scroll=""x"" variable.","Valeur par défaut.  Outrepasser en CMS en utilisant la variable scroll=""x""."
"Display Countdown Ticker On","Affiche le compte à rebours actif"
"Edit","Changer"
"Edit Catalog Event","Changer catalogue événement"
"Edit Event...","Changer évènement..."
"Enable Catalog Event Widget on the Frontend","Active le gadget Catalogue événement sur le devant"
"Enable Catalog Events Functionality","Active la fonction Catalogue évènements"
"End Date","Fin de date"
"End date should be greater than start date.","Fin de date devrait être postérieur à début de date."
"Ends On","Fins actif"
"Event for selected category","Événement pour catégorie sélectionnée"
"Event has been deleted.","Événement a été effacé."
"Event has been saved.","Événement a été sauvegardé."
"Events","Évènements"
"Events to Scroll per Click in Event Slider Widget","Évènements à dérouler par click dans le gadget projecteur d'évènements"
"Frame Size","Taille du cadre"
"Go To Sale","Aller aux Ventes"
"ID","Identification"
"Image","Image"
"Image was not uploaded.","Image n'a pas été chargée"
"List all open Catalog Events as a Paginated Carousel","Liste tous les évènements catalogue ouverts comme un manège paginé"
"Lister Block","Bloque liste"
"Manage Catalog Events","Gérer catalogue évènements"
"New Event","Nouvel événement"
"Number of Events to be Displayed in Event Slider Widget","Nombre d'évènements à afficher dans le gadget de projecteur d'évènements"
"Number of Items to display at once","Nombre d'articles à afficher en même temps"
"Number of Items to scroll per click","Nombre d'articles à dérouler par clic"
"Open","Ouvrir"
"Preview Sale","Prévisualiser Ventes"
"Product Page","Page produit"
"Sale Ends In","Vente finit dans"
"Sale was closed for this product.","Vente est terminée pour ce produit."
"Save and Continue Edit","Sauvegarder et continuer à changer"
"Scroll","Dérouler"
"Select Category","Sélectionner catégorie"
"Some products are not salable anymore.","Certains produits ne sont plus vendables."
"Sort Order","Trier par commande"
"Start Date","Trier par date"
"Starts On","Débute le"
"Status","État"
"Upcoming","Ä venir"
"Use Default Value","Utiliser valeur par défaut"
"View Sale","Voir Ventes"
"Width in Pixels. If empty, will be determined automatically","Largeur en pixels. Si vide, est déterminée automatiquement"
