"Action","actie"
"Additional information","Extra informatie"
"An amount on which to change the balance","Een aantal waarop het saldo kan worden veranderd"
"Balance","Saldo"
"Balance Change","Verandering van saldo"
"Balance History","Saldo geschiedenis"
"Balance history cannot be saved without existing balance.","Saldo geschiedenis kan niet worden opgeslagen zonder huidig saldo."
"By admin: %1$s. (%2$s)","Door beheerder: %1$s. (%2$s)"
"By admin: %s.","Door beheerder: %s."
"Comment","Commentaar"
"Created","Gemaakt"
"Customer ID must be specified.","Klant-ID moet gespecificeerd zijn"
"Customer My Account Store Credit","Klant mijn rekening Winkel crediet"
"Customer is not set or does not exist.","Klant is niet bepaald of bestaat niet."
"Customer notified?","Klant ingelicht?"
"Date","Datum"
"Delete Orphan Balances","Verwijder enkele saldo's"
"Enable Store Credit Functionality","Schakel winkelkrediet functionaliteit in"
"Failed to initialize customer","Niet geslaagd om klant te initialiseren"
"In order to send email notification, the Store ID must be set.","Om een e-mail notificatie te sturen moet de winkel ID zijn bepaald"
"No","Nee"
"Not enough Store Credit Amount to complete this Order.","Niet genoeg winkelcrediet om deze bestelling te voltooien"
"Notified","Ingelicht"
"Notify Customer by Email","Licht klant in via e-mail"
"Order #%s","Bestelling #%s"
"Please set store ID as well.","Bepaal winkel-ID a.u.b. ook"
"Refund Money to Store Credit","Retourneer geld naar winkelcrediet"
"Refund Store Credit Automatically","Winkeltegoed automatisch restitueren"
"Refund Store Credit to Store Credit","Retourneer winkelcrediet naar winkelcrediet."
"Refund to Store Credit","Retourneer naar winkelcrediet."
"Refunded","Geretourneerd."
"Refunded to Store Credit","Geretourneerd naar winkelcrediet."
"Remove","weghalen"
"Reverted","Teruggedraaid"
"Send Email Notification From the Following Store View","Verstuur e-mail notificatie vanuit de volgende winkelweergave"
"Send Email from the Following Store View","Verstuur e-mail vanuit de volgende winkelweergave"
"Show Store Credit History to Customers","Laat winkelcredietsgeschiedenis zien aan klanten"
"Store Credit","winkelcrediet"
"Store Credit (%s)","Winkeltegoed (%s)"
"Store Credit Balance","Winkelcrediet saldo"
"Store Credit Balance and History Wrapper","Winkelcrediet saldo en geschiedenis omslag"
"Store Credit Options","Winkelcrediet opties"
"Store Credit Update","Winkelcrediet update"
"Store Credit Update Email Sender","Winkelcrediet update e-mail afzender"
"Store Credit Update Email Template","Winkelcrediet update e-mail template"
"Store Credit payment is not being used in your shopping cart.","Winkelcrediet betaling wordt niet gebruikt in uw winkelwagen"
"Store credit amount cannot exceed order amount.","Winkeltegoed mag niet hoger zijn dan bestelbedrag."
"The store credit payment has been removed from shopping cart.","De betaling vanuit het winkelcrediet is verwijderd uit uw winkelwagen."
"There is no creditmemo set to balance model.","Er is geen credietmemo bepaald op het saldo model"
"There is no order set to balance model.","Er is geen bestelling bepaald voor het saldo model"
"Unknown balance history action code","Onbekende saldo-geschiedenis actie code"
"Update Balance","Update saldo"
"Updated","Geüpdate"
"Use Store Credit","Gebruik winkelcrediet"
"Use Store Credit (%s available)","Gebruik winkelcrediet (%s beschikbaar)"
"Used","Gebruikt"
"Website","Website"
"Website ID must be set.","Website ID moet worden bepaald."
"Your current balance is:","Uw huidige saldo is:"
"available","Beschikbaar"
