"Admin Accounts Locks","Bloqueios para Contas de Administrador"
"Auto-generate a Key","Autogerar Chave"
"Change Encryption Key","Mudar Chave de Criptografia"
"Encryption Key Change","Mudança na Chave de Criptografia"
"Encryption key format is invalid.","A chave de criptografia tem formato inválido."
"Encryption key has been changed.","A chave de criptografia foi alterada."
"Failures","Falhas"
"File %s is not writeable.","O arquivo %s não é editável."
"Forced","Forçado"
"ID","Identidade"
"If empty, this feature will be disabled.","Se vazia, esta característica será desativada."
"Last login","Último login"
"Locked Admins","Administradores Bloqueados"
"Locked Users","Usuários Bloqueados"
"Locked administrators","Administradores Bloqueados"
"Locked until","Bloqueado até"
"Lockout Time (minutes)","Tempo de Suspensão (minutos)"
"Manage Encription Key","Gerenciar Chave de Criptografia"
"Manage Encryption Key","Gerenciar Chave de Criptografia"
"Maximum Login Failures to Lockout Account","Máximo de Falhas de Login na Conta Suspensa"
"New Encryption Key","Nova Chave de Criptografia"
"New Key","Nova Chave"
"Password Change","Alteração de Senha"
"Password Lifetime (days)","Tempo de Existência da Senha (dias)"
"Permissions","Permissões"
"Please enter an encryption key.","Por favor introduza uma chave de encriptação."
"Recommended","Recomendado"
"System","Sistema"
"The encryption key is used to encrypt passwords and other sensitive data.","A chave de encriptação é usada para criptografar senhas e outros dados confidenciais."
"The generated key will be displayed after changing.","A chave gerada será exibida após a mudança."
"This account is locked.","Esta conta está bloqueada."
"This password was used earlier, try another one.","Esta senha foi usada anteriormente, tente outra."
"To make key change possible, make sure the following file is writeable: %s","Para fazer a mudança de chave possível, certifique-se que o seguinte arquivo é gravável: %s"
"Unlock","Desbloquear"
"Unlocked %d user(s).","%d usuário(s) desbloqueado(s)."
"Username","Nome do usuário"
"Your new encryption key: <span style=""font-family:monospace;"">%s</span>. Please make a note of it and make sure you keep it in a safe place.","Sua nova chave de encriptação: <span style=""font-family:monospace;"">%s</span>. Por favor anote-a e certifique-se que a mantém em um lugar seguro."
"Your password has expired, please <a href=""%s"">change it</a>.","Sua senha expirou, por favor <a href=""%s"">mude-a</a>."
"Your password has expired, please contact administrator.","Sua senha expirou, entre em contato com o administrador."
"Your password has expired, you must change it now.","Sua senha expirou, você deve alterá-la agora."
