"-- First Please Select a Website --","-- 首先请选择一个网站 --"
"Action","操作"
"Active","活动"
"Add Gift Card","添加礼品卡"
"Add Gift Card Account","添加礼品卡帐户"
"Additional information","额外信息"
"Alphabetical","字母表"
"Alphanumeric","字母表"
"Are you sure you want to delete these gift card accounts?","您是否确认要删除这些礼品卡帐户？"
"Available","可用"
"Balance","余额"
"Balance Change","余额变动"
"Balance cannot be less than zero.","余额不能小于零。"
"By admin: %s.","由管理员： %s"
"Cannot apply Gift Card","无法应用礼品卡"
"Cannot apply gift card.","无法应用礼品卡。"
"Cannot redeem Gift Card.","无法兑换礼品卡。"
"Cannot remove Gift Card","无法删除礼品卡"
"Cannot remove gift card.","无法删除礼品卡。"
"Check","检查"
"Check Gift Card status and balance","检查礼品卡状态和余额"
"Check status and balance","检查状态和余额"
"Code","代码"
"Code Format","代码格式"
"Code Length","代码长度"
"Code Prefix","代码前缀"
"Code Suffix","代码后缀"
"Created","已创建"
"Current Balance: %s","当前余额：%s"
"Customer #%s.","客户# %s。"
"Customer My Account Gift Card Check Form","客户我的帐户礼品卡检查表单"
"Customers","客户"
"Dash Every X Characters","每x个字符加横线"
"Date","日期"
"Date Created","创建日期"
"Delete","删除"
"Do you really want to proceed? All unsaved changes will be lost.","您是否要继续处理？所有为保存的改动将丢失。"
"Edit Gift Card Account","修改礼品卡帐户"
"Edit Gift Card Account: %s","修改礼品卡帐户：%s"
"Email Sent from Gift Card Account Management","从礼品卡帐户管理界面发送的邮件"
"Email Template","电子邮件模板"
"Email was not sent because the gift card account is not active.","邮件未发送，因为该礼品卡帐户未激活。"
"Enter Gift Card code","输入礼品卡代码。"
"Enter gift card code","输入礼品卡代码"
"Enter the gift card code","输入礼品卡代码"
"Excluding prefix, suffix and separators.","包含前缀、后缀，以及分隔符。"
"Expiration Date","过期日期"
"Expiration date cannot be in the past.","过期日期不能设置为过去。"
"Expired","已过期"
"Expires: %s","过期于：%s"
"Generate","生成"
"Gift Card","礼品卡"
"Gift Card ""%s"" was added.","礼品卡 ""%s"" 已添加"
"Gift Card ""%s"" was redeemed.","礼品卡 ""%s"" 已兑换。"
"Gift Card ""%s"" was removed.","礼品卡 ""%s"" 已被删除。"
"Gift Card (%s)","礼品卡 （%s）"
"Gift Card Account","礼品卡帐户"
"Gift Card Account General Settings","礼品卡帐户常规设置"
"Gift Card Account Sent From Edit Page","礼品卡帐户发送表单编辑页面"
"Gift Card Account has been deleted.","礼品卡帐户已被删除。"
"Gift Card Accounts","礼品卡帐户"
"Gift Card Balance Check Form","礼品卡余额检查表单"
"Gift Card Code","礼品卡代码"
"Gift Card Email Sender","礼品卡电子邮件发送者"
"Gift Card Template","礼品卡模板"
"Gift Card amount applied to order: %s","应用给订单的礼品卡数量：%s"
"Gift Card status","礼品卡状态"
"Gift Card: %s","礼品卡：%s"
"Gift Cards","礼品卡"
"Gift card account %s balance does not have funds.","礼品卡帐户 % 的余额不足。"
"Gift card account %s balance is less than amount to be charged.","礼品卡帐户 % 的余额不足以支付。"
"Gift card account %s is expired.","礼品卡帐户 %s 已过期。"
"Gift card account %s is not enabled.","礼品卡帐户 %s 未启用。"
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","有一张礼品卡？ <a href=""%s"">点击这里</a> 即可兑换。"
"History","历史"
"ID","ID"
"Information","信息"
"Invalid customer ID supplied.","提供的客户ID无效"
"Low Code Pool Threshold","低代码池阈值"
"Manage Gift Card Accounts","管理礼品卡帐户"
"Maximum generated code length is 255. Please correct your settings.","最大生成的代码长度为255。请纠正您的设置。"
"New Account","新帐户"
"New Gift Card Account","新礼品卡帐户"
"New Pool Size","新池大小"
"New code pool was generated.","新代码池已生成。"
"No","否"
"No codes left in the pool.","池中没有剩余代码。"
"Numeric","数字"
"Order #%s.","订单 # %s."
"Please assign gift card account.","请分配礼品卡帐户。"
"Please select gift card account(s)","请选择礼品卡帐户"
"Please wait, loading...","请稍候，正在加载..."
"Recipient Email","收件人邮件"
"Recipient Name","收件人姓名"
"Recipient: %s.","收件人： %s。"
"Recipient: %s. By admin: %s.","收件人： %s。来自管理员：%s。"
"Redeem Gift Card","兑换礼品卡"
"Redeemable","可兑换"
"Redeemed","已兑换"
"Redemption functionality is disabled.","兑换功能被禁用。"
"Refund Gift Cards to Store Credit","将礼品卡保存为店铺信用"
"Refunded to Store Credit","存储为店铺信用"
"Remove","删除"
"Save","保存"
"Save & Send Email","保存并发送邮件。"
"Send Gift Card","发送礼品卡"
"Sent","已发送"
"Status","状态"
"Store Credit","店铺信用"
"The gift card account has been saved and sent.","礼品卡帐户已保存并发送。"
"The gift card account has been saved, but email was not sent.","礼品卡帐户已保存，但邮件尚未发送。"
"The gift card account has been saved.","该礼品卡帐户已保存。"
"This Gift Card Account no longer exists.","该礼品卡帐户不存在。"
"This gift card account is already in the quote.","该礼品卡帐户已经被使用。"
"This gift card account wasn\'t found in the quote.","该礼品卡帐户的额度未找到。"
"To add or remove gift cards, <a href=""%s"">click here</a>.","要添加或删除礼品卡，请 <a href=""%s"">点击这里</a>。"
"Total of %d record(s) have been deleted.","总共%d记录已被删除。"
"Unable to create full code pool size. Please check settings and try again.","无法创建完整代码池规模，请检查设置并重试。"
"Unable to find a Gift Card Account to delete.","无法找到要删除的礼品卡帐户。"
"Unable to generate new code pool.","无法生成新的代码池。"
"Unknown history action.","未知历史操作。"
"Updated","已更新"
"Used","已使用"
"WARNING: Save your configuration before running generation process.","警告：请在执行生成操作前保存您的配置。"
"Website","网站"
"Wrong gift card account ID. Requested code: ""%s""","礼品卡帐户ID有误。请求代码： ""%s"""
"Wrong gift card account code: ""%s"".","礼品卡帐户代码有误： ""%s""。"
"Wrong gift card account website: %s.","礼品卡帐户网站有误： %s。"
"Wrong gift card code.","礼品卡代码有误。"
"Wrong or expired Gift Card Code.","礼品卡代码有误或已过期。"
"Yes","是"
"if empty no separation.","如果为空则不拆分。"
