"Action","操作"
"Add Gift Wrapping","添加礼品包装"
"Add Printed Card","添加打印的卡片"
"Allow Gift Receipt","允许礼品收据"
"Allow Gift Wrapping for Order Items","允许对订单项使用礼品包装"
"Allow Gift Wrapping on Order Level","允许对整个订单使用礼品包装"
"Allow Printed Card","允许打印的卡片"
"An error occurred while updating the wrapping(s) status.","更新包装状态时遇到了错误。"
"Are you sure you want to delete the selected gift wrappings?","您是否确认要删除所选的礼品包装？"
"Are you sure you want to delete this gift wrapping?","您是否确认要删除该礼品包装？"
"Change status","更改状态"
"Default Price for Printed Card","打印卡片的默认价格"
"Delete","删除"
"Design","设计"
"Disabled","已禁用"
"Display Gift Wrapping Prices","显示礼品包装价格"
"Display Printed Card Prices","显示打印卡片价格"
"Edit","编辑"
"Edit Gift Wrapping ""%s""","编辑礼品包装 ""%s"""
"Enabled","已启用"
"Excl. Tax","不含税"
"Failed to save gift wrapping.","保存礼品包装失败。"
"Gift Wrapping","礼品包装"
"Gift Wrapping Design","礼品包装设计"
"Gift Wrapping Information","礼品包装信息"
"Gift Wrapping for Items","项目的礼品包装"
"Gift Wrapping for Items (Excl. Tax)","项目的礼品包装（不含税）"
"Gift Wrapping for Items (Incl. Tax)","项目的礼品包装（含税）"
"Gift Wrapping for Order","订单的礼品包装"
"Gift Wrapping for Order (Excl. Tax)","订单的礼品包装（不含税）"
"Gift Wrapping for Order (Incl. Tax)","订单的礼品包装（含税）"
"Gift Wrapping for the Entire Order","整个订单的礼品包装"
"ID","ID"
"Image","图案"
"Image has not been uploaded.","图案尚未上传。"
"Image was not uploaded.","图案没有上传。"
"Incl. Tax","含税"
"Manage Gift Wrapping","管理礼品包装"
"New Gift Wrapping","新建礼品包装"
"Please select","请选择"
"Please select items.","请选择项目。"
"Price","价格"
"Price Excl. Tax","不含税价格"
"Price Incl. Tax","含税价格"
"Printed Card","打印的卡片"
"Printed Card (Excl. Tax)","打印的卡片（不含税）"
"Printed Card (Incl. Tax)","打印的卡片（含税）"
"Sales","销售"
"Save and Continue Edit","保存并继续编辑"
"Send Gift Receipt","发送礼品收据"
"Status","状态"
"Tax Class for Gift Options","礼品选项的税负类别"
"The gift wrapping has been deleted.","礼物包装已被删除。"
"The gift wrapping has been saved.","礼物包装已保存。"
"Total of %d record(s) have been deleted.","总共%d记录已被删除。"
"Total of %d record(s) have been updated.","总共%d记录已被更新。"
"Upload File","上传文件"
"Use Default Value","使用默认值"
"Websites","网站"
"Wrong gift wrapping requested.","错误的礼物包装请求。"
"You can leave a box blank if you don\'t wish to add a gift wrap for whole order","如果不想为所有订单添加礼品包装，则可以在这里留空。"
